"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 21:30:00 MSK 2019","Tue Oct 22 21:30:03 MSK 2019","2739","Default Suite","testJira","TestLogin","TestLogin","testLoginWrongLassword","testLoginWrongLassword",""
"passed","Thu Oct 24 19:07:25 MSK 2019","Thu Oct 24 19:07:30 MSK 2019","5009","Default Suite","testJira","TestLogin","TestLogin","testLoginSuccess","testLoginSuccess","Только что запустил"
"failed","Sun Oct 27 11:01:00 MSK 2019","Sun Oct 27 11:01:04 MSK 2019","3942","JIRA Suite","Issue","JIRATest","JIRATest","createIssurTest","createIssurTest",""
"passed","Sun Oct 27 11:01:10 MSK 2019","Sun Oct 27 11:01:13 MSK 2019","2292","JIRA Suite","Issue","JIRATest","JIRATest","testLoginWrongLassword","testLoginWrongLassword",""
"passed","Wed Oct 23 20:16:51 MSK 2019","Wed Oct 23 20:17:16 MSK 2019","24282","Default Suite","testJira","CreateIssueTest","CreateIssueTest","createIssurTest","createIssurTest",""
"passed","Sun Oct 27 11:01:05 MSK 2019","Sun Oct 27 11:01:10 MSK 2019","5522","JIRA Suite","Issue","JIRATest","JIRATest","testLoginSuccess","testLoginSuccess",""
